,text,cEXT,cNEU,cAGR,cCON,cOPN,no. of. words,cEXT1,cNEU1,cAGR1,cCON1,cOPN1
203,thoughts sensations emotions change new experience idea happen life affect people think affect mature think differently right feel like control school academically socially mentally school work important sure overboard like lot friends study hours day socially adapt meet new friends mentally control focus go life problems cause stress life college start roommate get petty arguments get fine guy problems regret things know work things friendship better know eat right sleep cause change body cause tire weak sleep way late wake early class night friend calledthe morning talk hours haveclock class good mood today work usually nice pleasant person face lot stress pms bad mood friends know stay away thing trouble right read class assignments problem read crazy bombard read assignments necessary art class instance require present moment read page want read statues paint sculpture different eras miss family homesick parent time know care necessary want visit weekend allow sound mean go miss free laundry home cook meals room nice bathroom ,n,y,n,n,n,160,0,1,0,0,0
204,sit try avoid problem procrastination hop start year right know anymore think need change life like college big change problem need maybe transfer credit want georgetown bad order god wish easily room mate away shit bug hell email folder useless crap pass class like morons better waste professor time energy spoon fee higher education bastards sugar coat easier herd large barn teach abc maybe sense maybe adjust new environment maybe vile contempt people think hope hammer ability want end hatingquarters general populous maybe need stiff drink nap yes time stock fridge buy know beer issue mute point matter buy room mate drink maybe interest wine schnapps vodka like nice brandy concern little moral problem eat expensive cheese get central market drink expensive wine culture suck wish bring bottle nitrogen home expect leave wine sit long nice case remind need subscribe wine connoisseur catalog bad ass stuff great gift drink buddies maybe brandy pip andy carafe jonathon glass jam bottle opener clay piss pussy clay come semester emotional problems difficult time make transition like onlywho problems difficult time make transition real grow try best cope time spoil son bitch literally mother bitch liberal psychobabbeling root poor kid problems ,n,n,n,n,n,197,0,0,0,0,0
205,homework hate homework like hate obligation busy entail finish homework exercise feel great actually start stressful helpful hard motivatewould think lazy people weed natural selection easier leave motivate see history texts people motivate go harder harder people things problems make wonder human race survive true space age mean progress area rate apathy disinterest sweep population possible little mudball order little mudballs circle bunch burn hydrogen look like alien theory truism call cause normally true say seed truth outrageous rumor want know seed truth want maybe lifetime answer heaven hell grind want figure answer answer think minutes hopefully little motivation muster result good grade good ,n,y,n,n,y,104,0,1,0,0,1
206,sit type get lot today want work soon worry weekend probably cause wish speed reader like movie saw stepmother alien alien stick arm book matter minutes understand entire content free time write draw relax sure people read slower maybe feel lucky wrists hurt head hurt kind dizzy tiredness day course sleep night phone instead time especially tire miss friends feel like right decision sacrifice sleep conversational anecdotes morning feel mistake feel better tomorrow sleep nice paul tomorrow justin funny porn stick head plastic wonder long time think sex reduce graphic ironic opposite maybe people slowly change electronically orient wontthem stand purdy talk overindustrialized world eventually change like cycle way primitive think optimism hold false sense security likely bring memories child life computers hand surround birth cycle think morally correct sweep industry aid separate ness generation feel nowhereness island like mentality dad tell little everylike iceberg float vast ocean air little piece float far away beneath surface subconsciousness water connect surround create stuff probably sound like televangelist care think wish cuddle justin heavy cover warmth feel arm shoulder neck feel ebb flow breath forehead slip away sleep love wake warm matter marry think important love happy marry million years happy ,n,y,n,y,y,199,0,1,0,1,1
207,hmmm write hard think work guy sign surprise send instant message want talk refrigerator make hum noise bother sleep hope roommate sleep trey apartment want hear snore somebody talk outside hear way turn light bed burn long get hot creak wall bother girl run hall airplanes loud high understand people shut doors quietly push chair make noise wonder go middle lose people person door pretty stupid let phone ring like time small dorm room necessary type get bad hate capitalize send letter saturday lazy bring go weird date letter match postmark date envelop guess onlythat feet cold cold today girl door complain hot hot room hum come outside wonder bus idle right get energy noise people walk hall wall good insulation go loud car rev quickly sense wash dish wonder neighbor talk say bad wrists start hurt probably change hand position laundry rest laundry need wash towel wonder long wait line stuff probably long think wait till day girl cough make think buy cough drop get sleepy wish lazy eye feel like droop wonder score cowboy game need sit straight hurt wish know hurt think sunday help dad wish eat burger king eat subway enjoy tuna sub better yawn think need stamina watch dig impression watch arm kind stuff annoy watch little little kid go close eye type hope mess word bad think read need haircut want style scar way look good take watch bother stapler big crack middle wonder mail come yesterday make mad bet mail gum taste pretty gross taste better burger yawn goosepimples cold probably long shirt camera rewind way maybe newone advantage ones switzerland great scenic picture yawn eye water yawn annoy go telephone bet ring long time nope ring guess girl freeze kinda bet wrong wrong wonder fast type make lot mistake far pretty good worse second say get worse wrists hurt go room slam door bother ,n,y,n,n,n,312,0,1,0,0,0
208,waste hour half try stupid ethernet card work worst wait overweeks stupid thing come drivers software recognize think royally blank waste anotherhours talk technical support thing rip make day big let consider complain parent get thing hundreds hours homework day waste day waste homework day occasionally watch half hour television union play video game lately class want spend hours night work assignments time look austin area see movie place suck interest life complain self conscious read note example talk fast people psychology sound pretty cool breeze hit austin like hot sun go away maybeday turn fall town finally relatively cool marinate juices yeah know sound gross shower walk kinsolving tire need shower sure work appetite way killer time moore hill feel like roll die stomach supersaturated shirt fatigue feet need jog like time time old hobbies cry loud network card install notebook wish time old hobbies like photography major photography maybe major psychology interest class kind like wish serve thanflavors ice cream like chicken today dinner roast chicken lunch chicken dumplings tomorrow chicken soup creamy chicken blank tomorrow chicken patties day chicken nuggets day run chicken serve chicken fry steak chicken gravy steak mash potatoes repulsive serve maybe reduce meal plan better check morning minutes roommate ask cyanide guess happen girlfriend dump tough break depress like even wonder tomorrow better plan need hmmm wish net access piss ,y,y,n,n,y,227,1,1,0,0,1
209,background movie space jam little distract help focus comedy looney tune attribute communication disorder topic discuss csd class little cold agent pay attention late agreement statement movie wonder sign language assignment tonight screen get focus come focus love keyboard space key wonderful wish face stop throb lips dry cold feel fatness face surgery newman guy seinfeld movie hate character seinfeld funny music remind aerobics eagle play fly like eagle michael jordan attractive man wish live campus wish boyfriend give wrong number friend hard pay attention assignment movie basketball season love song remind th grade go roller skate best friend th grade mess wonder need old school salt peppa want new car want nice car piece crap like want new honda accord life perfect glad boy come attract movie kevin bacon basketball forget crap head hurt know look emit light like screen light bad eye hungry need work love free rec center finger hurt little love play sport love movies want movies older maybe produce actually want rich god mouse annoy remind little sister talk fast mouth movie suck tire stupid lab tonight want amusement park hungry miss karen need haircut god danny devito voice trip finger hurt chubby boy voice hey time fly good hear jenny laugh love people amuse michael talk butt friend justin call cool run today ,y,n,y,y,y,219,1,0,1,1,1
210,robert marshall reinauer think think think physics physics hard take class firsttaking college course thing think long line page write guy set way purpose tell want know feel right line annoy long cause deal think home girlfriend miss things miss study tough class hopefully learn aregirls talk alot usually people lab talk french spanish know say bug finally end abnormal type line understand girls talk care distract provide researchable paper annoy like perfect situations mean go way unfortunately happen guess leave quiet think lot better college think future think future college bet majority worry go work college college like big success great doctor million people know room million people narrow pick medical school best hope best come know happen pretty neat turn paper finally line go try pick class need hours hope help maximize time counselors say hours nice advice school like soon possible like cause eager future success complete failure minutes confess correct grammatical mistake cause feel better hope understand bye ,y,n,n,y,y,162,1,0,0,1,1
211,feel kind nervous today haveclass suppose spend rest day fraternity house chores wonder chores actives pledge event know fun excite week parent go come town time physically see move cousin go come visit excite able people tell overwhelm come felt way things get harder week think handle room mess need clean laundry guess today maybe little free time ,y,n,y,y,n,58,1,0,1,1,0
212,tire understand start maybe lazy think loser want accept stand eat jester food taste better make sick use bathroom lot time think lot spit like song make think party dance girls miss girlfriend bad strong person read actually know wonder care care anymore try learn change america instead take shortcut approach finger get tire hungry early eat dinner moron decide dinner serve hand probably laugh funny dude time hit repeat button player piss wonder happen nipples foreheads dick lot people ask dickfor funny huh probably think sort psycho pervert program automatically return begin document drink weekend feel better probably miss get heart forever wonder way feel know stand cold shower phone ring answer stupid homework hope demote call stupid homework tire sleepy know time miss sister take care true friend count ask time know get marriedfriends best man know way type answer phone stuffmotion hope little pause type hurt grade understand spell phone instead cap accidentally come change damn station roommate go black hole sun fair weather friend dance woods naked beautiful blonde bad probably want black give fuck goat ass colin hungry beer dance naked bitch oops stand ugly women good look ones kiss pamela nipples forehead piss dickfor know go bloodbath sweat spot later hey borrow card bitch psycho think crazy meet colin bum meals live poor effort dickfor colin gon na sick spoonman rub colin go wes probably study come beer grade miss high school life suck die stink need grille check smell like bag armpits dirty bastard tennis coach smell like old sow rotten bus seat school tire hurry cute colin second gunman grassy null president dickfor spoonman live rule tupac dead care colin weirdo want child molester funny say thank send help butt hurt finger tire quit minutes die mother f ops remember transformer underwear bomb jointh bom www utexas tire hell edu http com man get accept wan na quit ,y,n,y,y,y,316,1,0,1,1,1
213,today september days best friend leave navy come austin visit dread past couple months know leave best friend foryears go stuff years hard good bye know say otheryears know bother know forget hope pray come visit go usually talk person understand feel like unknown connection explain realize time willand maybeyears things leave certain tell hardest thing know understand know kind funny believe best friends male female best couple tell probably marry think feel kind love come begin meet people feel loose merely think time miss companionship talk go miss great capability listen help male love great personality change years believe come far life friends let friendship fail september sad happy day begin career future miss best friend world ,y,y,n,y,y,118,1,1,0,1,1
214,school people run place place noticeable mean noticeable effect word try scribe thoughts brim easier picture head vivid sensations accustom behold mind personal theater develop way think like think day dream image behold clearly eye open happen like write drone nonsense receive benefit human eye execution get read tell insignificance repel assignment easy internet generally avoid dismal institution years spit net gain genesis spit multi media machination steal wake live people matter pity like computers sunsets let use paintbrush engineer nature prefer real thing chaos chance simple number crunchers sensation depth lack computers vicarious life condemn useful tool condemn junkies pushers fact creation live life fullest potential sound condemn junkies guess niche wall world peaceful way things inhibit slightly way hate embrace hypocritical matter use nearly day like think probably falsely downfall machine complete web surfers spend hours browse electronic dream men mind produce dream live worse prefer picture world inside mind contrive number vicarious situation locations persons emotions sunsets want near vivid copy real things eye behold infernal debilitate habit daydream ways real insignificant life insignificant mean degrade matter feel use potential want better standard situation life truth humans insignificant matter important influential save number immense crowd sure philosophers ponder subject right useless mention prefer daydream prefer novel prefer realistic sunset game doom particular pastime fun guilty waste hour follow endless assortment clone rock game industry bore write think word normally normally prefer think sight sound smell hardmaster think shall think time stop wonderment go think word flash color geometric shape build energy mind remember psych class begin waver habit wrong moment daydream kendo class come soon think stalwart master stand hold bamboo sword poise straight steady go move know fan kendo wait actual class hope daydream predict success hope recognize real contrivance wait fact tot daydream enjoy remember think imagine past class real world know sword rule land think idea feudal japan needlessly walk forget karate uniform don time call wearingthose carry real sword time trudge muddy roads country constantly light orange pasty sun remember go form needle violence honor success follow daydream run erratic let mind extensive control watch bizarre unfold picture melt forget memory boil depths mind collage unearthly landscape extensive travel southwest country will amass great memories landscape memories fact create realistically vicariously daydream ability imagine titanous wall huge cliffs eat away river evidently impossibly show score rain erode force top greenery valley rock tumble stone like visualize like visualize vacation special note remember best landscape saw discover process remember scenes wear sunglasses remember sharpness shiprock depth grand canyon crumble stone chaco mesa verde sunglasses remember detail cloud distort think glass steal away true definition picture want remember unfortunate visualize saga mar twist memories fantastic visages see movies twist remember wave galveston bite larger sun vivid sunrise recall brighter golden take special effect house splice memory wonder better memory unaltered memory better improve refine stun remember think include stories write think story movie flash eye hear speaker plug feel think conquer world fact plan feel safe write doubtful read carefully pay attention confident long term plan feel bad warn maybe fancy die normal life maybe book receive fame like money sure meet minute interval forget check clock write little longer sure satisfy requirement daydream sure write happen better probably appear like write ahead visualize new landscape like earlier enjoy rise pyramid sit atopcornered stone terrace hold point sky withsunsburning bright vaguely familiar hazy blue color lazily sit near point surround ruin city egyptian reminiscent roman culture tilt columns ruble return desert sand yellow glitter like mica fleck imbed sand hot tot touch ruff run like silk hand hand know watch valley surround windswept hand appear desolate wind whip sand speed wraiths amazingly flat area dun develop wonder say valley moutons hill wonder prompt write book change add distant mountain line sand compact foot hand easily dislodge flow place remind black sand california gray black equally smooth mica fill glintiness come mix memory actually physical things see time merely illusion merely contrivance let ,n,n,n,n,y,667,0,0,0,0,1
215,parent drop dorm room head home houston come football game mom call day school day gosh starve right friend eat taco bell wish save type go grub speak food morning eat awesome breakfast buffet double tree parent get know friend matt roommate pick phone disconnect luckily get right read today philosophy chemistry nutrition hope long tiered want nap time wake sleep feel get sick different medications asthma allergies congestion good thing doctor appt friday hopefully hang til meet girl live hall name jenny move dorm turn long lose sisters absolutely common weird alike feel lazy stay study sunny sunday afternoon love swim right hope write assignment get janel seagal whomever suppose eat good bye ,n,y,n,y,n,114,0,1,0,1,0
216,try time tookattempts hopefully time require attempt try write time send theother attempt write better work hard assignment donetimes believe creativity drain talk funny witty tire tire try assignment get reject gods let think friend room psychology class live floor pretty cool let almostclock go run help roommate precal bud floor pretty lay get real small dorm littlefield complaint room little year old dorm mom tell build bed come closet bore otherwritings interest better want home go home soon miss dog bore want writer creative person right feel physically drain tire want sleep long time wake tomorrow morning philosophy discussion session want guess kind learn haveminutes leave tackle english paper want work anymore want sleep go go go go waste time talk people class good think time yeah type finish english paper hope go scream loud thank god bless ,y,y,y,n,n,139,1,1,1,0,0
217,mean stupid assignment probably beneficial psychologists school think go page press return okay line probably fuck okay wonder long tomorrow awfully long today able type faster think practice summer write good begin go like long time go long time minutes like long theory look screen write go wonder people say notice thing automatically scroll type good internet save lot paper waste annoy come wait write things paper home wonder jonathan email check finish thing doh long time wonder tell people cheat cut short type fast lot wonder fast type comparison learn touch type come college use hunt peck version star keyboard hard transcribe paper think get tire remind simpsons grandpa ramble listen care say ewww smell like mustard love wait new season start wonder win simpson house solve problems rest live want annoy live think tell lot person know degree like simpsons idiots like dad think cartoon finish chapter read interest time read forget book want walk way dobie hot lazy wonder big fat cow walk half block book start rid bike like bus easier carry bike fuck stairs climb stairs today long time wonder able run die think build andy athletic fit slow yay minutes wonder freak actually go read things yeah point stupid thing point research project possibly read hurt probably try better posture like conserve energy lazinessmore minutes tire think sun drain energy sick stupid thing minutes go slow irritate wait email wonder message get weeks bye ,n,n,y,y,y,240,0,0,1,1,1
218,know start guess matter computers frustrate wish know need write hmmmm bad wonder guy keep laugh fun assignment maybe email girl pretty cute kind look like guy princess bride love movie see assignment kind hard type fast think thing work kind annoy write dumb wonder heather write hope email get ryan jeremy stink time minutes sure alot people friday afternoon wonder alot homework probably kind tire hope gosh hungry hope hope fun tonight want meet people hope david come wonder trey jason call bet trey sure wish talkative nice bet heather kind like dave wonder go able weird guy help felt dumb need research requirement soon lot need guy laugh kind wish laugh gosh slow typer hope right wish assignments easy need floppy disk yeah need paradigm note zoology bet leann remember bring nice wonder girl funny accent think write minutes guess quit type slow certain length min time frame wonder dinner tonight think ,y,n,y,y,n,154,1,0,1,1,0
219,sit drink nasty coffee coffee maker fritz look recollect past weekend fact think monday morning better understand talk background premise occur sit talk boyfriend houston chat group newlywed phase relationship constantly want couple miles away school cause major distance pain way try encourage come visit weekend regretfully work saturday sunday lunch waiter meet past summer reply request request think brief moment decide major plan weekend immediately call greyhound bus homehour completely surprise wasthe largest sign love show leave spur moment spend know spend sacrifice weekend time cloudand soon saw weekend progress wonderful time chance meet friends houston report mother thankfully neglect tell town day ride bus station heartfelt conversation basically proclaim undying love tell exactly special life go things let know know love remember little things daywhich mean cause know action receive appreciation felt lastcoming spur moment ultimate proceed tell mental list envision wife kind person traits tell fit everyand say perfect companion see lot date type person know thefor know tell meet certain know know rightfor mind heart soul scream terrence state things think andpoint start sheer joy say anyperson express feel think experience love level happy tear come explain thing want know talk hypothetically marriage time past usually fully tone half contemplate saw cry embrace tightly warmth felt totally peace moment whisper know mean hear finally wife pull embrace look deep eye felt touch soul right ask wife soo take aback speak propose sure respond smilethe biggest smile reply yes say completely hypothetical say ask time present ring know money will wait man like meat like love time beforelasted years end abusive relationship second onlysided love leave marines want return love know come different person time compare feel terrence come contemplations plenty time think life go bus ride home know want spend life terrence share value religious people ways church regularly peace god ask meet religious afraid admit overly religious point disgust value marriage effect believe divorce marriage time marry person forever til death know work biggest obstacle age gap pose problem mother like see show acceptable behavior treat utmost respect belittle disregard young fact look set high goals stop achieve know want wait graduation close marry know important med school say marry know sure supportthose chivalrous guy believe man able support family salary wife want work make money want able know work time give support doctor person include familything bother waiter know temporary work career music band musical engineer producer teacherthe best drummers hear write incredible music piano piece synthesize complete modern music know income start doctor able support problem arise fact debt pay med school shaky start course marriages start financially shaky concern older ready settle encourage marry graduate add expense time graduate hope wait long say believe grow antsy years line love world course reason know need ask felt way human think love like possible want anyelse soo yes marry beautiful children know honeymoon feel wear love change know love meet complete perfectly best friend terrence connect realize meet deep discussion fact connect scar reason meet week complete sentence know think word bite scary grow grow comfortable idea ready marry life perfect happier love engage ,y,y,n,y,y,520,1,1,0,1,1
220,work pm dorm organize geology homework study science hard need shop food internet connection set hope dad help know net assignments need brad college station know situation think love need date date interest want know sure brad want know want different school probably aggie woman longhorn man guy meet pretty cool date maybe fun happen need unlike lori want like ryan glad quit job love manager drive crazy shift get hopefully work work shift today need relax stuff wish time tell mom dad go things come people call drop time midnight asleep hours funny think live city able talk easily tomorrow labor day wonder jeff want thing probably know time spend day probably throw fit live san marcos come home time want visit wish needy like work like brad wonderful write letter get say part sad part happy wonder good sad like miss bad sad like meet days wonder ryan get letter wonder mecredy go dallas george strait concert great wonder get brad wonder lori talk couple days draw tuesday hope stand line leave early work know game go great hope game think want hang brad weekend know depend know ticket want tyler line wonder college station sure directions hope scary know wear wonder car stickers trash ,y,n,y,y,n,207,1,0,1,1,0
221,minutes stop write laundry washer hope shrink band fun couple days till game glad try meagan shannon cool help alot summer band wonder think microphone fell move college cool freedom school high school band nice need write thank mrs burditt flag weird stuff confuse fun kinda gay way band submit internet wow loose sleep sleep noon today need sleep night leopard print sheet cool damn funny mike funnier plain wacky callback today tell man ahead check mike know like accent biology video crazy today cook leech earthworm jim ivy fun fun ohio miss miss like talk icq people icq mess mess dell cool customer support nice make feel stupid felt pretty dumb calculus miss ques review chapter take ace class jessica cool believe gabe man stink year nooo afraid get ta confident girls bad guy girls like get ta library mrs ritter nice surprise good think snobby judge meet smart guy thethe announcements time valedictorian care funny person nice sweet romantic state solo ensemble leslie fun bus ride kinda late leave orange white color school pride girl hall losers alcohol girls jessica sister time kate cool come baylor explorer work chevy blazer ford bronco white know prove innocent leave riot man hate princess die drink driver come know paparazzi fault jam total pothead dork nice meet dan miss dan funny need dan need parent mom miss poor dad talk mom hope friends age know work scott online ivy wonder scott notre dame bet fun actually homework think college study kinda weird get ta read sophie world tonight write assignment prof ross weird class mean life monty python funny stuff game time play need buy interstate dakota want play stepdad die better way miss wish come homecoming hope game day band martin notice try hard guess fun pick fast meagan cool notice work hard year guess know like minutes pass minutes ago wonder longer laundry hungry eat ice cream good today jester express open check hey movies tonight scream cool think watch time ,n,n,n,y,n,332,0,0,0,1,0
222,computers contessa dorms modems learn hard way far computers pain ass password access work maybe itsletters tell instruction sheet say password letter leastletters austin mean guess sir mix lot go guess baby get song disappear hardcore rap fan read little midwest bunch rappers live music like robert earl keen live bandera texas go summer campyear call homies old cowboy hat call homie hat guy tee pee shoot rifleryday funeral service preacher rock hole place hat say prayer counselor say sacrilegious go later dig move think somewas go grave dig great piece trivia life ids homie hat bury someday maybe visit robert earl keen hamman ranch ymca camp bank ice cold medina river cool younger go monahns west texas visit grand parent midland mom grandmother big tiff pin shower cap upstairs shower silly fight course guess kind interest give talk favorite tiff tongs becky tiff late involve car accidents lie rumor call tongs go montana state big sky conference bring tiffs know girl name jenn friend see long time go southern utah think big sky tell time email mention know austin friend go big sky school think intend email southern utah girl write guess know big sky texas coincidence jenn tell improbable obviously care jorge steal todd snider straw cowboy hat sit right write todd snider nashville play luckenbach laborfest saw year crowd surf jorge yank head badass jorge say feel bad wonder todd miss old hat think learn valuable lesson like jerry jeff lose guitar bar new mexico year later story probably bullshit jerry jeff matter pay hear storied era life probably remember wish play bigger variety songs man release albums different play set concert hear pot kettle black thathis biggest songs want stories talk old sean stories pretty suck pride tell interest make walk georgetown jefferson memorial sound fascinate lose lose death god forsake east texas people listen ,n,y,y,n,n,309,0,1,1,0,0
223,know use internet feel tell ignorant wish use class assignments like use medicine wish dad subscribe internet home christmas vacation probably car grade real wish dad hold deal mean flunk math dad kill forget car hope dad happy mood christmas holiday incase fail know scar endanger get medical school choice medical school happen fail doctor patients die label bad doctor forfeit license talk microbiology advisor course take fit graduateyears know stupid assignment think spell correctly capitalize remind psychology class high school ward cool class bore know everybody fall asleep hardly test know braver soul blatantly tell class hard bore help friends exam kind teacher sure students pass standardize test see bring mrs whitenight believe exam suffer year class able receivefive mean suffer improve day class gottenbut know believe member grade exams help low score sound silly care look ugly face thank goodness know mrs dubner try cover thin hair mean thousands women year thing want hair grow try rogaine effect thank god want yesterday birthday half good half bad believe family feed exed package good thing friends like jean rosemary talk dina believe choose major say like great tell truth instead hear regina nerve try steal major mean like belong like go tryinglike richardson tell body better microbiology tell youthing satisfaction go work harder work better class probably beat science tutor improve grade thank hope beat graduate suma cum laude knock wood graduate cum laude magna cum laude care rosemary cool roommate sort get little tire jean mean complain fromthing great friend hope graduate better friends today suppose start jog hope track collapse miracle think know parent especially worry mom mean death princess diana sound lot weaker phone hope get soon hope able home holiday birthday present believe jean rosemary get perfume oil birthday greatest birthday gift receive get cowboys jacket parent fifteenth birthday fact birthday get present parent know theweeks forget mike almer good thing think start obsess thing maybe christmas holiday maybe maybe boyfriend treat better way think right think later graduate medical school thank goodness time good thing professor read embarrass feel like analyze brain wave mind think pattern analyze wonder project go like hope go great eat lunch want right ,n,n,y,y,y,364,0,0,1,1,1
224,finally get ethernet problems work today mail know wish mom tell package windows disk receive nabisco care package kinds goodies get eat wonder scott hear monday think probably work play magic tim anthony glad get card julie today look like good time maybe red river shoot dallas better maybe get place stay dallas stay wish guy work outside quiet girls hall quiet finger cold numb guess live excite football game saturday home football game get season ticket maybe aggie friends game november kristine mail address write think home september twentieth maybe scott come think end cost money cost lot money go forth hope get sleep way day need start plan week like learn time management study strategies seminar go sunday think need nap wish nail polish remover need repaint toenail wonder throughweeks need nail redo hope want change manicurists like vicky ,n,y,y,y,n,141,0,1,1,1,0
225,write miss dinner come write paper think dinner longer till night suck night request new couch thehave hurt saw new couch look like pretty cool bright blue plan gray grey bore wonder tonight stay home homework sleep maybe good night sleep feel like likely party like suckered guy situation campus bad thedating sweetie date fun anymore fun challenge get guy want spend time bitch god eye handle look screen long dry nintendo room upstairs sit hours eye kill hours little exaggeration roommates pretty cool like lot feel bad spend time closer kinda feel leave spend time friends best friend athena hall love glad hate fist get kinda upset floor want space time away love perfect set visit anytime want come room like feel like hang come write forever screen keep scoot make feel like write time wroteline sad thing sit hour people distract wonder check mail wonder chris write chris great guy hope come visit soon miss boy theguy regret like chance break heart guess way life go loser guy treat like shit maybe like guy finally know like nice treat suck think psy experiment class entertain hope class truly interest subject like class concentrate come think go close study habit get bad know go happen think change ways track start exercise day run days freshman come min hope fun analyze ,y,n,y,y,y,221,1,0,1,1,1
226,afternoon wonder long minutes write time slow bore mind quiet room usually people constantly talk walk shout bang cause distraction cousin frank room blood cousins cousins marriage aunt marry uncle pretty cool hat kid chinese class wasthose annoy obnoxious boys tease girls guess pretty close pretty scary find cousins fun call ugh bore noise hear hum right desk hot cool comfortable paranoid frank room pretty messy guy come complain fleas yuck hate bug shape size know begin feel itchy man half way write assignment laddy dee know write sit impatient paranoid bug frank live inside asian fraternity house try asians dirty guy little lazy wish clean bite right clean mess smell moldy light bad air feel nasty walk hate take shower go bathroom dim light constantly flicker seat dingy yellow brown color stink like shit thestall actually half way decent light basically shower dark worst paranoid guy walk bathroom change guy know respect boyfriend think guy yes frank friend tony get start race crew pick stickers cars mmm bring food like mcdonalds crave smell gon na eat time yeah ,n,y,y,y,n,179,0,1,1,1,0
227,right sit feel good finally assignment mind assign wait till know feel sense accomplishment lecture tuesday time think picture video saw class brain warm call cook imagine brain cook right try think write earlier today emotions change alot today try figure change muchpoint extremely shy minute outgo right feel comfortable extremely confident thoughts go way right feel pressure school parent like responsible smart feel right truly fascinate mind come things right intrigue go class feel like hear lecture realize alot stuff notice especially try feel feel think feel occur look time go write track different thoughts feel emotions mention earlier parent want impress picture parent start feel love know need stop trace thoughts wonder test go hard class feel pretty hungry right imagine stomach relay brain tell time eat wish controller mind control addiction sure like quit smoke feel control anymore smell cigarettes smoke feel mind nice havethose guess quit smoke tell mind stronger weird mind suddenly bring smoke guess know quit bad time enjoy assignment ,y,n,y,n,n,166,1,0,1,0,0
228,okay work assignment numberwhich understand correctly follow think pattern think need accomplish nextthree days difficult follow run happen night try sleep take hours actually talk clear thoughts order sleep get better relaxation techniques try order sleep tire tire difficult accomplish mind body cooperate wonder power mind actually body maybe discuss class topic interest amaze conscientious thoughts try track lose negativity criticism usually pass throughmind hard think try overload thoughts exactly thoughts wonder brain actually think human mind body absolutely amaze work precisely intrigue life amazingly difficult life want big love kindergarten life simple rush hurry hours day need wonder people ease definitely away easily maybe stronger person maybe insane age know time tell wish future know pay vain time concept imagine world chaotic wish away type little thanminutes look time simple statement concept time probably exist form fashion exact wonder come make way today person know profound effect world ready christmas break absolutely wonderful summer summer go school mode want class graduate fourth class gpa overhundred madefirst grade swear guess college different thing wait work adjustment high school try stay away topic second write assignment mind consume thoughts go right move away go absolutely huge school people campus town type minutes think mind skip lot jump topic topic work ,n,y,y,y,n,209,0,1,1,1,0
229,thisthe interest assignments date educational career submit work pretty know go write get girlfriend bring lot sensations feel pleasant lately guy pretty cool guy sit look like lose maybe self conscious sit long guess place bad get hangover bad consider excessive intoxication night bitch people type damn loud guy run place somewhat dorkey understatement ryan happy know finally go break want damn manipulate bad bad person hell think pick ass grind like sort surrogate mother time check breast breast fee tell tiffany amber thiessen know val real girls watch make experts breast maybe fact long time damn time girl guy rip ass body consideration shit fake wonder loud noise think curse damn yes cute chick look good fine girls people talk lot fine girls anticipate sixth street lot honnies sixth street lot stuff get tattoo say like artist know forest tattoo probably lazy ass want gotmore minutes leave assignment guy drop calculator dumbass thirsty und ein bischen hungry little german wonder hope spell right odd soon meet immediately pass judgment know people judge themfirst impressions positive bad impressions come better little drink sober impressions come bad entertain people better little drink get ta ,y,n,y,n,y,193,1,0,1,0,1
230,alot right think way want early paranoid send freak accident need stuff need study french french test french years hopefully guy try chat tell busy feel kinda bad people austin try chat people austin alot people try talk online maybe intimidate people feet tall like guy attractive boyfriend love live new jersey matter love meet cancun graduation call night come month miss afford come work casino atlantic city actually kinda bother years old need ambition admire people get alot hope producer someday live new york wait ready graduate miss friends home hopefully jina weeks visit brother hopefully hang feel like people understand wish rich live closer know love go roommate visit boyfriend baylor weekend fun miss boyfriend nee read rtf right want read ahead week want wish pack bag europe want education guess stick foryears need jina run old boyfriend day pretend amaze mind go successfulday feel like league know understand hope week maybe courage talk ,n,y,n,y,y,156,0,1,0,1,1
